2023-01-30 11:01:44,653 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:45,561 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:45,577 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:45,596 p=2591811 u=david n=ansible | TASK [Swap off] ***********************************************************************************************************************************************
2023-01-30 11:01:46,368 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:46,399 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:01:46,416 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:47,238 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:47,262 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:47,274 p=2591811 u=david n=ansible | TASK [Comment fstab] ******************************************************************************************************************************************
2023-01-30 11:01:48,071 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:01:48,072 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:48,072 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:48,910 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:48,918 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:48,937 p=2591811 u=david n=ansible | TASK [Configure and load kernel modules (all nodes)] **********************************************************************************************************
2023-01-30 11:01:49,866 p=2591811 u=david n=ansible | [WARNING]: Consider using 'become', 'become_method', and 'become_user' rather than running sudo

2023-01-30 11:01:49,866 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:49,899 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:01:49,922 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:50,948 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:51,123 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:51,138 p=2591811 u=david n=ansible | TASK [Bridge network iptables and set kernel parameters] ******************************************************************************************************
2023-01-30 11:01:51,983 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:52,002 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:01:52,030 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:52,918 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:53,330 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:53,358 p=2591811 u=david n=ansible | TASK [remove docker.gpg file (for idempotency)] ***************************************************************************************************************
2023-01-30 11:01:54,128 p=2591811 u=david n=ansible | ok: [rpmaster]
2023-01-30 11:01:54,152 p=2591811 u=david n=ansible | ok: [rpnode1]
2023-01-30 11:01:54,180 p=2591811 u=david n=ansible | ok: [rpnode2]
2023-01-30 11:01:55,013 p=2591811 u=david n=ansible | ok: [rpnode3]
2023-01-30 11:01:55,570 p=2591811 u=david n=ansible | ok: [rpnode4]
